record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms
11493.811898035,181,0.759286,1.677966,1.499494,0.006403,0.16737,3.663127
11494.307478798,182,2.06079,1.71562,1.554052,0.002896,0.155005,3.839584
11494.750959988,183,0.709527,1.933058,1.664619,0.007395,0.255353,3.848391
11495.167662394,184,0.478853,1.759467,1.617907,0.003327,0.135547,5.000481
11495.595515583,185,0.441269,1.566696,1.421089,0.003577,0.138853,3.54354
11496.008582108,186,1.426029,1.613348,1.442501,0.005411,0.161117,3.468132
11496.393337604,187,0.40086,1.327615,1.164113,0.004268,0.155938,3.686772
11496.781053489,188,0.988557,1.628749,1.40624,0.006082,0.212899,3.466208
11497.458649191,189,0.586105,1.721,1.481638,0.00489,0.230504,4.04119
11497.824361415,190,0.515425,1.687774,1.429846,0.005471,0.248449,3.538329
11498.285040668,191,0.822701,1.673746,1.528961,0.004268,0.13669,4.149031
11500.137204387,192,0.205234,1.797289,1.509172,0.003978,0.277065,3.97608
11500.609018977,193,1.065569,1.845103,1.569701,0.006433,0.263919,3.624696
11501.139459275,194,0.450747,2.241714,1.728623,0.019037,0.486719,3.876644
11501.61980757,195,0.99529,1.353726,1.18817,0.004138,0.157821,3.350126
11502.101598155,196,1.501596,1.569971,1.412852,0.003937,0.149344,3.792116
11502.605032698,197,1.160816,2.094754,1.819191,0.003517,0.269471,3.485491
11503.10924066,198,0.291805,1.859771,1.604189,0.006031,0.24343,5.0235
11505.10250058,199,0.719075,1.842036,1.607774,0.004058,0.227658,3.89165
11505.111656713,200,0.961403,1.69672,1.381049,0.00481,0.302956,4.87716
11505.124758443,201,2.029335,1.643706,1.42239,0.006493,0.209973,3.809709
11505.845218322,202,0.662333,1.870211,1.644417,0.003998,0.2186,4.37023
11506.321104669,203,0.47259,1.909408,1.686459,0.002785,0.217348,3.417315
11506.697991658,204,0.771368,1.764673,1.6161,0.003868,0.141088,4.163895
11507.073169614,205,0.39661,1.784041,1.644677,0.004048,0.132461,3.83599
11507.105427821,206,0.32511,1.952151,1.66697,0.004328,0.275743,3.492144
11507.421350072,207,0.643667,1.837506,1.565881,0.006423,0.258849,4.304089
11507.871220418,208,1.100155,1.730455,1.54002,0.003918,0.183341,3.589735
11508.243688273,209,0.916423,0.743874,0.570352,0.003927,0.166187,4.101351
11508.675807777,210,1.844519,1.483048,1.288856,0.003857,0.186928,4.104928
11516.659003998,211,1.77511,1.798437,1.547363,0.004839,0.243138,3.657773
11552.841606547,212,0.99937,1.81019,1.557795,0.005541,0.243147,3.239613
11553.847677354,213,1.347172,1.853094,1.628534,0.007284,0.211314,3.338566
11553.8595776,214,0.85718,1.263247,1.051813,0.007645,0.196856,4.081364
11553.901204398,215,1.228899,1.52487,1.373012,0.00493,0.143642,3.59995
11553.908934086,216,1.326381,1.714512,1.502827,0.004749,0.204331,3.616072
11553.917201407,217,1.695685,1.268156,1.067834,0.007134,0.187708,3.871402
11553.930789152,218,1.086781,1.538487,1.213279,0.010651,0.307503,4.464615
11554.117322773,219,1.283237,1.613945,1.418823,0.004889,0.187177,4.103176
11554.164828589,220,1.657852,1.576301,1.373544,0.004559,0.194651,3.47309
11555.9090227,221,1.9022,1.618914,1.456997,0.005631,0.15305,3.464353
11558.995248753,222,0.492836,1.786041,1.563615,0.00989,0.205723,3.661997
11606.823420541,223,1.498107,1.609845,1.442709,0.004459,0.160022,4.103797
11607.15853015,224,1.367061,1.601298,1.38743,0.006022,0.204049,3.489036
11607.553103851,225,0.609681,1.660173,1.393292,0.009138,0.25064,3.679547
11607.876499894,226,1.646978,1.783734,1.531391,0.00499,0.243366,3.652605
11608.129369232,227,1.753626,1.963776,1.693889,0.006012,0.259517,4.539869
11608.384224767,228,1.323626,1.865133,1.628782,0.003827,0.23019,4.267827
11608.630926856,229,0.950457,0.935147,0.74207,0.003647,0.186795,3.346617
11608.902318262,230,0.785505,1.559787,1.416608,0.004749,0.135815,3.586114
11610.768756073,231,1.309658,1.901945,1.513596,0.008667,0.375844,3.394229
